File,Quantity
10mm_ball_caster_base.stl,1
10mm_ball_caster_support.stl,1
10mm_ball_caster_yoke.stl,1
50mm_ball_caster_base.stl,1
50mm_ball_caster_spring_seat.stl,1
50mm_ball_caster_support.stl,1
50mm_ball_caster_yoke.stl,1
base_chassis.partA.stl,1
base_chassis.partB.stl,1
bumper.partA.stl,1
bumper.partB.stl,1
chassis_cover.partA.stl,1
chassis_cover.partB.stl,1
hcs04_sonar_bracket.stl,3
mr08d_motor_base_bracket.stl,2
mr08d_motor_base_support.stl,2
mr08d_motor_front_cap.stl,2
mr08d_motor_rear_cap.stl,2
pole_plug.partA.stl,1
pole_plug.partB.stl,1
wheel_block_frame.stl,2
wheel_suspension_arm.partA.stl,4
wheel_suspension_arm.partB.stl,4
wheel_suspension_frame.partA.stl,4
wheel_suspension_frame.partB.stl,4
